class_or_average,precision,recall,f1-score,support,model,seed
IR,1.0,0.8333333333333334,0.9090909090909091,12.0,random_forest,2026
OR,0.9285714285714286,0.9285714285714286,0.9285714285714286,28.0,random_forest,2026
accuracy,0.9107142857142857,0.9107142857142857,0.9107142857142857,0.9107142857142857,random_forest,2026
macro avg,0.9285714285714286,0.9196428571428572,0.920954045954046,56.0,random_forest,2026
weighted avg,0.9183673469387755,0.9107142857142857,0.9118381618381618,56.0,random_forest,2026
N,1.0,1.0,1.0,4.0,random_forest,2027
B,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0,random_forest,2027
IR,1.0,0.8333333333333334,0.9090909090909091,12.0,random_forest,2027
OR,0.9285714285714286,0.9285714285714286,0.9285714285714286,28.0,random_forest,2027
accuracy,0.9107142857142857,0.9107142857142857,0.9107142857142857,0.9107142857142857,random_forest,2027
macro avg,0.9285714285714286,0.9196428571428572,0.920954045954046,56.0,random_forest,2027
weighted avg,0.9183673469387755,0.9107142857142857,0.9118381618381618,56.0,random_forest,2027
N,1.0,1.0,1.0,4.0,random_forest,2028
B,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0,random_forest,2028
IR,1.0,0.8333333333333334,0.9090909090909091,12.0,random_forest,2028
OR,0.9285714285714286,0.9285714285714286,0.9285714285714286,28.0,random_forest,2028
accuracy,0.9107142857142857,0.9107142857142857,0.9107142857142857,0.9107142857142857,random_forest,2028
macro avg,0.9285714285714286,0.9196428571428572,0.920954045954046,56.0,random_forest,2028
weighted avg,0.9183673469387755,0.9107142857142857,0.9118381618381618,56.0,random_forest,2028
N,1.0,1.0,1.0,4.0,random_forest,2029
B,0.8,1.0,0.8888888888888888,12.0,random_forest,2029
IR,1.0,0.8333333333333334,0.9090909090909091,12.0,random_forest,2029
OR,0.9629629629629629,0.9285714285714286,0.9454545454545454,28.0,random_forest,2029
accuracy,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,random_forest,2029
macro avg,0.9407407407407407,0.9404761904761905,0.9358585858585858,56.0,random_forest,2029
weighted avg,0.9386243386243386,0.9285714285714286,0.9294372294372294,56.0,random_forest,2029
N,1.0,0.75,0.8571428571428571,4.0,rbf_svm,2025
B,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0,rbf_svm,2025
IR,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0,rbf_svm,2025
OR,0.9230769230769231,0.8571428571428571,0.8888888888888888,28.0,rbf_svm,2025
accuracy,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,rbf_svm,2025
macro avg,0.8724358974358974,0.8392857142857143,0.8485449735449735,56.0,rbf_svm,2025
weighted avg,0.8686813186813186,0.8571428571428571,0.8588435374149659,56.0,rbf_svm,2025
N,1.0,0.5,0.6666666666666666,4.0,rbf_svm,2026
B,0.6875,0.9166666666666666,0.7857142857142857,12.0,rbf_svm,2026
IR,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0,rbf_svm,2026
OR,0.9230769230769231,0.8571428571428571,0.8888888888888888,28.0,rbf_svm,2026
accuracy,0.8392857142857143,0.8392857142857143,0.8392857142857143,0.8392857142857143,rbf_svm,2026
macro avg,0.8609775641025641,0.7767857142857143,0.7936507936507936,56.0,rbf_svm,2026
weighted avg,0.8588598901098902,0.8392857142857143,0.8390022675736961,56.0,rbf_svm,2026
N,1.0,0.75,0.8571428571428571,4.0,rbf_svm,2027
B,0.6875,0.9166666666666666,0.7857142857142857,12.0,rbf_svm,2027
IR,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0,rbf_svm,2027
OR,0.96,0.8571428571428571,0.9056603773584906,28.0,rbf_svm,2027
accuracy,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,rbf_svm,2027
macro avg,0.8702083333333334,0.8392857142857143,0.8454627133872417,56.0,rbf_svm,2027
weighted avg,0.8773214285714285,0.8571428571428571,0.8609934539853678,56.0,rbf_svm,2027
N,1.0,0.75,0.8571428571428571,4.0,rbf_svm,2028
