seed,model,feature_group,held_out_load,n_train_files,n_test_files,file_leakage_count,training_seconds,inference_seconds,best_params,macro_f1,balanced_accuracy,accuracy,macro_precision,macro_recall,recall_N,recall_B,recall_IR,recall_OR
2025,logistic_regression,Diagnostic26,0,42,14,0,0.1291338999872096,0.0073790000169537,"{""model__C"": 1.0}",0.7976190476190476,0.7976190476190476,0.7857142857142857,0.7976190476190476,0.7976190476190476,1.0,0.6666666666666666,0.6666666666666666,0.8571428571428571
2025,mlp,Diagnostic26,0,42,14,0,2.983630099974107,0.0063061999971978,"{""dropout"": 0.1, ""weight_decay"": 0.0001, ""epochs"": 9}",0.8785714285714287,0.8809523809523809,0.8571428571428571,0.9017857142857144,0.8809523809523809,1.0,1.0,0.6666666666666666,0.8571428571428571
2025,logistic_regression,Diagnostic26,1,42,14,0,0.1261380999931134,0.0074613000033423,"{""model__C"": 1.0}",0.8809523809523809,0.8809523809523809,0.8571428571428571,0.8809523809523809,0.8809523809523809,1.0,0.6666666666666666,1.0,0.8571428571428571
2025,mlp,Diagnostic26,1,42,14,0,2.3448495999909937,0.004538900044281,"{""dropout"": 0.1, ""weight_decay"": 0.0001, ""epochs"": 5}",0.945054945054945,0.9642857142857144,0.9285714285714286,0.9375,0.9642857142857144,1.0,1.0,1.0,0.8571428571428571
2025,logistic_regression,Diagnostic26,2,42,14,0,0.1233177999965846,0.0051406000275164,"{""model__C"": 10.0}",0.945054945054945,0.9642857142857144,0.9285714285714286,0.9375,0.9642857142857144,1.0,1.0,1.0,0.8571428571428571
2025,mlp,Diagnostic26,2,42,14,0,2.968568400014192,0.0057489000027999,"{""dropout"": 0.2, ""weight_decay"": 0.001, ""epochs"": 16}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025,logistic_regression,Diagnostic26,3,42,14,0,0.1203040999826043,0.0059352000243961,"{""model__C"": 1.0}",0.8117216117216117,0.8809523809523809,0.8571428571428571,0.8125,0.8809523809523809,1.0,1.0,0.6666666666666666,0.8571428571428571
2025,mlp,Diagnostic26,3,42,14,0,2.742619799973909,0.0060312999994494,"{""dropout"": 0.1, ""weight_decay"": 0.0001, ""epochs"": 8}",0.945054945054945,0.9642857142857144,0.9285714285714286,0.9375,0.9642857142857144,1.0,1.0,1.0,0.8571428571428571
2026,logistic_regression,Diagnostic26,0,42,14,0,0.1195894000120461,0.005746699986048,"{""model__C"": 0.1}",0.7976190476190476,0.7976190476190476,0.7857142857142857,0.7976190476190476,0.7976190476190476,1.0,0.6666666666666666,0.6666666666666666,0.8571428571428571
2026,mlp,Diagnostic26,0,42,14,0,2.348726299998816,0.0050612000050023,"{""dropout"": 0.2, ""weight_decay"": 0.001, ""epochs"": 6}",0.7767857142857143,0.7976190476190476,0.7857142857142857,0.8642857142857143,0.7976190476190477,1.0,1.0,0.3333333333333333,0.8571428571428571
2026,logistic_regression,Diagnostic26,1,42,14,0,0.1161607000394724,0.0058424999588169,"{""model__C"": 1.0}",0.8809523809523809,0.8809523809523809,0.8571428571428571,0.8809523809523809,0.8809523809523809,1.0,0.6666666666666666,1.0,0.8571428571428571
2026,mlp,Diagnostic26,1,42,14,0,3.4353673000005074,0.0067547999788075,"{""dropout"": 0.1, ""weight_decay"": 0.0001, ""epochs"": 9}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026,logistic_regression,Diagnostic26,2,42,14,0,0.1260501999640837,0.0058313999907113,"{""model__C"": 0.1}",0.945054945054945,0.9642857142857144,0.9285714285714286,0.9375,0.9642857142857144,1.0,1.0,1.0,0.8571428571428571
2026,mlp,Diagnostic26,2,42,14,0,3.3192183999926783,0.0058899000287055,"{""dropout"": 0.2, ""weight_decay"": 0.001, ""epochs"": 14}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026,logistic_regression,Diagnostic26,3,42,14,0,0.122009499988053,0.0058267000131309,"{""model__C"": 0.1}",0.8117216117216117,0.8809523809523809,0.8571428571428571,0.8125,0.8809523809523809,1.0,1.0,0.6666666666666666,0.8571428571428571
2026,mlp,Diagnostic26,3,42,14,0,2.4713353000115603,0.0048697000020183,"{""dropout"": 0.1, ""weight_decay"": 0.0001, ""epochs"": 8}",0.945054945054945,0.9642857142857144,0.9285714285714286,0.9375,0.9642857142857144,1.0,1.0,1.0,0.8571428571428571
2027,logistic_regression,Diagnostic26,0,42,14,0,0.131736799958162,0.0097394000040367,"{""model__C"": 0.1}",0.7976190476190476,0.7976190476190476,0.7857142857142857,0.7976190476190476,0.7976190476190476,1.0,0.6666666666666666,0.6666666666666666,0.8571428571428571
2027,mlp,Diagnostic26,0,42,14,0,2.3254844999755733,0.0057609000359661,"{""dropout"": 0.1, ""weight_decay"": 0.0001, ""epochs"": 5}",0.7767857142857143,0.7976190476190476,0.7857142857142857,0.8642857142857143,0.7976190476190477,1.0,1.0,0.3333333333333333,0.8571428571428571
2027,logistic_regression,Diagnostic26,1,42,14,0,0.1245912000304088,0.0065325999748893,"{""model__C"": 0.1}",0.945054945054945,0.9642857142857144,0.9285714285714286,0.9375,0.9642857142857144,1.0,1.0,1.0,0.8571428571428571
2027,mlp,Diagnostic26,1,42,14,0,2.7130610999884084,0.0060190000222064,"{""dropout"": 0.2, ""weight_decay"": 0.001, ""epochs"": 4}",0.8617216117216118,0.8809523809523809,0.8571428571428571,0.8541666666666666,0.8809523809523809,1.0,0.6666666666666666,1.0,0.8571428571428571
2027,logistic_regression,Diagnostic26,2,42,14,0,0.1376366000040434,0.0073262000223621,"{""model__C"": 0.1}",0.945054945054945,0.9642857142857144,0.9285714285714286,0.9375,0.9642857142857144,1.0,1.0,1.0,0.8571428571428571
2027,mlp,Diagnostic26,2,42,14,0,2.582515499962028,0.0058912000386044,"{""dropout"": 0.2, ""weight_decay"": 0.001, ""epochs"": 11}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2027,logistic_regression,Diagnostic26,3,42,14,0,0.1173104999470524,0.0051717000314965,"{""model__C"": 0.1}",0.8117216117216117,0.8809523809523809,0.8571428571428571,0.8125,0.8809523809523809,1.0,1.0,0.6666666666666666,0.8571428571428571
2027,mlp,Diagnostic26,3,42,14,0,3.365446100011468,0.0063617000123485,"{""dropout"": 0.1, ""weight_decay"": 0.0001, ""epochs"": 13}",0.945054945054945,0.9642857142857144,0.9285714285714286,0.9375,0.9642857142857144,1.0,1.0,1.0,0.8571428571428571
2028,logistic_regression,Diagnostic26,0,42,14,0,0.1228205999941565,0.0083544999943114,"{""model__C"": 0.1}",0.7976190476190476,0.7976190476190476,0.7857142857142857,0.7976190476190476,0.7976190476190476,1.0,0.6666666666666666,0.6666666666666666,0.8571428571428571
2028,mlp,Diagnostic26,0,42,14,0,2.133338099985849,0.0059630000032484,"{""dropout"": 0.1, ""weight_decay"": 0.0001, ""epochs"": 3}",0.7767857142857143,0.7976190476190476,0.7857142857142857,0.8642857142857143,0.7976190476190477,1.0,1.0,0.3333333333333333,0.8571428571428571
2028,logistic_regression,Diagnostic26,1,42,14,0,0.1145890999468974,0.0057497000088915,"{""model__C"": 0.1}",0.945054945054945,0.9642857142857144,0.9285714285714286,0.9375,0.9642857142857144,1.0,1.0,1.0,0.8571428571428571
2028,mlp,Diagnostic26,1,42,14,0,3.768671100027859,0.0059525999822653,"{""dropout"": 0.1, ""weight_decay"": 0.0001, ""epochs"": 19}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2028,logistic_regression,Diagnostic26,2,42,14,0,0.1215581999858841,0.0058133999700658,"{""model__C"": 1.0}",0.945054945054945,0.9642857142857144,0.9285714285714286,0.9375,0.9642857142857144,1.0,1.0,1.0,0.8571428571428571
2028,mlp,Diagnostic26,2,42,14,0,2.489172200032044,0.0051016999641433,"{""dropout"": 0.1, ""weight_decay"": 0.0001, ""epochs"": 9}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2028,logistic_regression,Diagnostic26,3,42,14,0,0.1172497000079602,0.0057773999869823,"{""model__C"": 10.0}",0.945054945054945,0.9642857142857144,0.9285714285714286,0.9375,0.9642857142857144,1.0,1.0,1.0,0.8571428571428571
2028,mlp,Diagnostic26,3,42,14,0,2.623291799973231,0.0049596999888308,"{""dropout"": 0.1, ""weight_decay"": 0.0001, ""epochs"": 3}",0.945054945054945,0.9642857142857144,0.9285714285714286,0.9375,0.9642857142857144,1.0,1.0,1.0,0.8571428571428571
2029,logistic_regression,Diagnostic26,0,42,14,0,0.127095699950587,0.0057524000294506,"{""model__C"": 0.1}",0.7976190476190476,0.7976190476190476,0.7857142857142857,0.7976190476190476,0.7976190476190476,1.0,0.6666666666666666,0.6666666666666666,0.8571428571428571
2029,mlp,Diagnostic26,0,42,14,0,2.34790570003679,0.0057665999629534,"{""dropout"": 0.1, ""weight_decay"": 0.0001, ""epochs"": 3}",0.7724358974358974,0.7976190476190476,0.7857142857142857,0.875,0.7976190476190477,1.0,1.0,0.3333333333333333,0.8571428571428571
2029,logistic_regression,Diagnostic26,1,42,14,0,0.1114981999853625,0.0058355999644845,"{""model__C"": 1.0}",0.8809523809523809,0.8809523809523809,0.8571428571428571,0.8809523809523809,0.8809523809523809,1.0,0.6666666666666666,1.0,0.8571428571428571
2029,mlp,Diagnostic26,1,42,14,0,2.351462199992966,0.0052389000193215,"{""dropout"": 0.1, ""weight_decay"": 0.0001, ""epochs"": 6}",0.945054945054945,0.9642857142857144,0.9285714285714286,0.9375,0.9642857142857144,1.0,1.0,1.0,0.8571428571428571
2029,logistic_regression,Diagnostic26,2,42,14,0,0.1238756999955512,0.0064349999884143,"{""model__C"": 10.0}",0.945054945054945,0.9642857142857144,0.9285714285714286,0.9375,0.9642857142857144,1.0,1.0,1.0,0.8571428571428571
2029,mlp,Diagnostic26,2,42,14,0,3.50930120004341,0.0061571999685838,"{""dropout"": 0.2, ""weight_decay"": 0.001, ""epochs"": 17}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2029,logistic_regression,Diagnostic26,3,42,14,0,0.1240974999964237,0.0060566000174731,"{""model__C"": 0.1}",0.8117216117216117,0.8809523809523809,0.8571428571428571,0.8125,0.8809523809523809,1.0,1.0,0.6666666666666666,0.8571428571428571
2029,mlp,Diagnostic26,3,42,14,0,2.760146300017368,0.0067181999911554,"{""dropout"": 0.2, ""weight_decay"": 0.001, ""epochs"": 5}",0.945054945054945,0.9642857142857144,0.9285714285714286,0.9375,0.9642857142857144,1.0,1.0,1.0,0.8571428571428571
2025,logistic_regression,NoAmplitude,0,42,14,0,0.0992584999767132,0.0058453000383451,"{""model__C"": 1.0}",0.7976190476190476,0.7976190476190476,0.7857142857142857,0.7976190476190476,0.7976190476190476,1.0,0.6666666666666666,0.6666666666666666,0.8571428571428571
2025,mlp,NoAmplitude,0,42,14,0,2.3242457999731414,0.0062227000016719,"{""dropout"": 0.1, ""weight_decay"": 0.0001, ""epochs"": 8}",0.8785714285714287,0.8809523809523809,0.8571428571428571,0.9017857142857144,0.8809523809523809,1.0,1.0,0.6666666666666666,0.8571428571428571
2025,logistic_regression,NoAmplitude,1,42,14,0,0.1217522000079043,0.005455799982883,"{""model__C"": 1.0}",0.945054945054945,0.9642857142857144,0.9285714285714286,0.9375,0.9642857142857144,1.0,1.0,1.0,0.8571428571428571
2025,mlp,NoAmplitude,1,42,14,0,2.2446764999767765,0.0048670999822206,"{""dropout"": 0.2, ""weight_decay"": 0.001, ""epochs"": 5}",0.945054945054945,0.9642857142857144,0.9285714285714286,0.9375,0.9642857142857144,1.0,1.0,1.0,0.8571428571428571
2025,logistic_regression,NoAmplitude,2,42,14,0,0.0990951000130735,0.0056839999742805,"{""model__C"": 10.0}",0.945054945054945,0.9642857142857144,0.9285714285714286,0.9375,0.9642857142857144,1.0,1.0,1.0,0.8571428571428571
2025,mlp,NoAmplitude,2,42,14,0,2.839404500031378,0.0056821000180207,"{""dropout"": 0.2, ""weight_decay"": 0.001, ""epochs"": 7}",0.945054945054945,0.9642857142857144,0.9285714285714286,0.9375,0.9642857142857144,1.0,1.0,1.0,0.8571428571428571
