seed,held_out_load,model,calibration,temperature,n_files,file_leakage_count,nll,brier,ece
2025,0,mlp,before,0.6876560219336322,14,0,0.48437610142553494,0.26776852882360985,0.17050239357142868
2025,0,mlp,after,0.6876560219336322,14,0,0.6213618780378268,0.2879539244277031,0.1819713085553828
2025,1,mlp,before,0.6223054207301275,14,0,0.19497575437678466,0.09942119433825004,0.059971259285714285
2025,1,mlp,after,0.6223054207301275,14,0,0.14195783258544922,0.08763723664794722,0.06650020848651231
2025,2,mlp,before,1.025278656469049,14,0,0.0312402615656476,0.008862019078102008,0.027743910714285898
2025,2,mlp,after,1.025278656469049,14,0,0.03283997364881262,0.009473681078452392,0.029081482730121056
2025,3,mlp,before,0.9049661471446959,14,0,0.1745760384413757,0.1098691338367368,0.10999002142857142
2025,3,mlp,after,0.9049661471446959,14,0,0.17123729072814609,0.1111740772484673,0.10323123533520226
2026,0,mlp,before,0.8396660302054414,14,0,0.5135320947333321,0.3276498822479583,0.19252694857142852
2026,0,mlp,after,0.8396660302054414,14,0,0.5579584336633829,0.3509797495260461,0.23003282322878052
2026,1,mlp,before,0.9753445989443437,14,0,0.08849575353797552,0.02828943344105995,0.07947702000000001
2026,1,mlp,after,0.9753445989443437,14,0,0.08462351114109766,0.0267808948193687,0.07614973312548494
2026,2,mlp,before,1.2835688421125162,14,0,0.029831517400599198,0.006861871665846782,0.027264989999999933
2026,2,mlp,after,1.2835688421125162,14,0,0.0533382521043058,0.014219921604033127,0.04767543098775813
2026,3,mlp,before,1.82056420302608,14,0,0.15155136584506532,0.09436619254886218,0.06587448214285722
2026,3,mlp,after,1.82056420302608,14,0,0.26516872276506115,0.11454451415175661,0.14449795187641132
2027,0,mlp,before,0.7987718483269121,14,0,0.5749086810028491,0.319129874731688,0.18059203000000001
2027,0,mlp,after,0.7987718483269121,14,0,0.6307842192834908,0.3431511195645639,0.23386603931141792
2027,1,mlp,before,1.7756774624529006,14,0,0.3106966777736923,0.16302985441386575,0.17149874928571424
2027,1,mlp,after,1.7756774624529006,14,0,0.5318681694846011,0.25406709934425203,0.28299028628385986
2027,2,mlp,before,0.6380364656795914,14,0,0.05259873332180759,0.018843449476226484,0.045362227857142834
2027,2,mlp,after,0.6380364656795914,14,0,0.024500482191297402,0.007429859834563348,0.022041531466826157
2027,3,mlp,before,0.8396660302054414,14,0,0.16705976700675976,0.10997790424405296,0.07154103785714279
2027,3,mlp,after,0.8396660302054414,14,0,0.1760402869121327,0.11615215690745614,0.05924066993941197
2028,0,mlp,before,0.33339237912842906,14,0,0.5672657254148162,0.28360430860132835,0.1692325042857143
2028,0,mlp,after,0.33339237912842906,14,0,0.8275088286909245,0.31100290352451226,0.13413285446027554
2028,1,mlp,before,0.8396660302054414,14,0,0.05125395680225479,0.014334983961219053,0.04686229428571424
2028,1,mlp,after,0.8396660302054414,14,0,0.03622773394635772,0.00866020795494549,0.03370944908224087
2028,2,mlp,before,0.7050390422809653,14,0,0.0521328705793806,0.01616261784937806,0.04638340000000007
2028,2,mlp,after,0.7050390422809653,14,0,0.025815247403710273,0.007009991419406324,0.02361265789823082
2028,3,mlp,before,0.5631653389454025,14,0,0.4438534663189985,0.2281810164387388,0.23724407857142857
2028,3,mlp,after,0.5631653389454025,14,0,0.3353291245774794,0.1878021417369707,0.15674194532871008
2029,0,mlp,before,1.2835688421125162,14,0,0.5478413807447841,0.2810352719333068,0.13663412000000005
2029,0,mlp,after,1.2835688421125162,14,0,0.6049373646567764,0.30336554735030574,0.24062081804674337
2029,1,mlp,before,1.9621479411748493,14,0,0.1639563077215338,0.08436245125035025,0.12726010999999993
2029,1,mlp,after,1.9621479411748493,14,0,0.37744256705285484,0.16269900200615192,0.28884060557713864
2029,2,mlp,before,0.8826538438450513,14,0,0.02840365181129495,0.009036892706174957,0.024648741428571406
2029,2,mlp,after,0.8826538438450513,14,0,0.022345574156681824,0.006566338471500054,0.019718068923509628
2029,3,mlp,before,0.8826538438450513,14,0,0.25292344711327946,0.14447589834837074,0.13382288000000003
2029,3,mlp,after,0.8826538438450513,14,0,0.2396947879600018,0.1431795935652458,0.1514438320890235
