seed,model,feature_group,held_out_load,n_train_files,n_test_files,file_leakage_count,training_seconds,inference_seconds,best_params,macro_f1,balanced_accuracy,accuracy,macro_precision,macro_recall,recall_N,recall_B,recall_IR,recall_OR
2025,logistic_regression,Transfer20,0,42,14,0,0.10037679999368265,0.004612600023392588,"{""model__C"": 1.0}",0.7976190476190476,0.7976190476190476,0.7857142857142857,0.7976190476190476,0.7976190476190476,1.0,0.6666666666666666,0.6666666666666666,0.8571428571428571
2025,mlp,Transfer20,0,42,14,0,2.6948312999447808,0.006108500005211681,"{""dropout"": 0.1, ""weight_decay"": 0.0001, ""epochs"": 8}",0.8785714285714287,0.8809523809523809,0.8571428571428571,0.9017857142857143,0.8809523809523809,1.0,1.0,0.6666666666666666,0.8571428571428571
2025,logistic_regression,Transfer20,1,42,14,0,0.11896720004733652,0.005701299989596009,"{""model__C"": 1.0}",0.945054945054945,0.9642857142857143,0.9285714285714286,0.9375,0.9642857142857143,1.0,1.0,1.0,0.8571428571428571
2025,mlp,Transfer20,1,42,14,0,2.998255100043025,0.0061080000014044344,"{""dropout"": 0.1, ""weight_decay"": 0.0001, ""epochs"": 7}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025,logistic_regression,Transfer20,2,42,14,0,0.1258751000277698,0.006295099970884621,"{""model__C"": 1.0}",0.945054945054945,0.9642857142857143,0.9285714285714286,0.9375,0.9642857142857143,1.0,1.0,1.0,0.8571428571428571
2025,mlp,Transfer20,2,42,14,0,2.672963500022888,0.00709690002258867,"{""dropout"": 0.2, ""weight_decay"": 0.001, ""epochs"": 4}",0.945054945054945,0.9642857142857143,0.9285714285714286,0.9375,0.9642857142857143,1.0,1.0,1.0,0.8571428571428571
2025,logistic_regression,Transfer20,3,42,14,0,0.11966309999115765,0.0054314000299200416,"{""model__C"": 1.0}",0.8117216117216117,0.8809523809523809,0.8571428571428571,0.8125,0.8809523809523809,1.0,1.0,0.6666666666666666,0.8571428571428571
2025,mlp,Transfer20,3,42,14,0,2.453117500001099,0.006502299977000803,"{""dropout"": 0.1, ""weight_decay"": 0.0001, ""epochs"": 5}",0.945054945054945,0.9642857142857143,0.9285714285714286,0.9375,0.9642857142857143,1.0,1.0,1.0,0.8571428571428571
2026,logistic_regression,Transfer20,0,42,14,0,0.1073828999651596,0.004837100044824183,"{""model__C"": 1.0}",0.7976190476190476,0.7976190476190476,0.7857142857142857,0.7976190476190476,0.7976190476190476,1.0,0.6666666666666666,0.6666666666666666,0.8571428571428571
2026,mlp,Transfer20,0,42,14,0,2.7521655000164174,0.0047969999723136425,"{""dropout"": 0.1, ""weight_decay"": 0.0001, ""epochs"": 7}",0.7767857142857143,0.7976190476190476,0.7857142857142857,0.8642857142857143,0.7976190476190477,1.0,1.0,0.3333333333333333,0.8571428571428571
