model,seed,macro_f1,balanced_accuracy,accuracy,macro_precision,macro_recall,recall_N,recall_B,recall_IR,recall_OR
logistic_regression,2025,0.8588369963369963,0.8809523809523809,0.8571428571428571,0.8571428571428571,0.8809523809523809,1.0,0.8333333333333333,0.8333333333333333,0.8571428571428571
logistic_regression,2026,0.8588369963369963,0.8809523809523809,0.8571428571428571,0.8571428571428571,0.8809523809523809,1.0,0.8333333333333333,0.8333333333333333,0.8571428571428571
logistic_regression,2027,0.8748626373626374,0.9017857142857143,0.875,0.8712797619047619,0.9017857142857143,1.0,0.9166666666666666,0.8333333333333333,0.8571428571428571
logistic_regression,2028,0.9081959706959707,0.9226190476190477,0.8928571428571429,0.9025297619047619,0.9226190476190477,1.0,0.9166666666666666,0.9166666666666666,0.8571428571428571
logistic_regression,2029,0.8588369963369963,0.8809523809523809,0.8571428571428571,0.8571428571428571,0.8809523809523809,1.0,0.8333333333333333,0.8333333333333333,0.8571428571428571
mlp,2025,0.9421703296703297,0.9523809523809524,0.9285714285714286,0.9441964285714286,0.9523809523809524,1.0,1.0,0.9166666666666666,0.8928571428571428
mlp,2026,0.9304601648351649,0.9404761904761905,0.9285714285714286,0.9504464285714286,0.9404761904761905,1.0,1.0,0.8333333333333333,0.9285714285714286
mlp,2027,0.8958905677655677,0.9107142857142857,0.8928571428571428,0.9139880952380952,0.9107142857142858,1.0,0.9166666666666666,0.8333333333333333,0.8928571428571428
mlp,2028,0.9304601648351649,0.9404761904761905,0.9285714285714286,0.9504464285714286,0.9404761904761905,1.0,1.0,0.8333333333333333,0.9285714285714286
mlp,2029,0.9156364468864469,0.9315476190476191,0.9107142857142857,0.9375,0.9315476190476191,1.0,1.0,0.8333333333333333,0.8928571428571428
random_forest,2025,0.8908768315018315,0.8898809523809523,0.875,0.9139880952380952,0.8898809523809523,1.0,0.9166666666666666,0.75,0.8928571428571428
random_forest,2026,0.9190018315018316,0.9196428571428572,0.9107142857142857,0.9322916666666666,0.9196428571428572,1.0,0.9166666666666666,0.8333333333333333,0.9285714285714286
random_forest,2027,0.9190018315018316,0.9196428571428572,0.9107142857142857,0.9322916666666666,0.9196428571428572,1.0,0.9166666666666666,0.8333333333333333,0.9285714285714286
random_forest,2028,0.9190018315018316,0.9196428571428572,0.9107142857142857,0.9322916666666666,0.9196428571428572,1.0,0.9166666666666666,0.8333333333333333,0.9285714285714286
random_forest,2029,0.934478021978022,0.9404761904761905,0.9285714285714286,0.9441964285714286,0.9404761904761905,1.0,1.0,0.8333333333333333,0.9285714285714286
rbf_svm,2025,0.8231227106227106,0.8392857142857143,0.8571428571428572,0.8206845238095238,0.8392857142857143,0.75,0.9166666666666666,0.8333333333333333,0.8571428571428571
rbf_svm,2026,0.7539262820512821,0.7767857142857143,0.8392857142857143,0.7488095238095238,0.7767857142857143,0.5,0.9166666666666666,0.8333333333333333,0.8571428571428571
rbf_svm,2027,0.8205471611721612,0.8392857142857143,0.8571428571428572,0.8202380952380952,0.8392857142857143,0.75,0.9166666666666666,0.8333333333333333,0.8571428571428571
rbf_svm,2028,0.8205471611721612,0.8392857142857143,0.8571428571428572,0.8202380952380952,0.8392857142857143,0.75,0.9166666666666666,0.8333333333333333,0.8571428571428571
rbf_svm,2029,0.8205471611721612,0.8392857142857143,0.8571428571428572,0.8202380952380952,0.8392857142857143,0.75,0.9166666666666666,0.8333333333333333,0.8571428571428571
