stage,candidate,inner_fold,epoch,train_loss,val_macro_f1,val_balanced_accuracy
inner_tuning,0.0,0.0,1,1.1061148444811504,0.7,0.7
inner_tuning,0.0,0.0,2,0.6829535365104675,0.7,0.7
inner_tuning,0.0,0.0,3,0.39894703692860073,0.7595238095238095,0.7625
inner_tuning,0.0,0.0,4,0.24658187561564976,0.7521929824561403,0.7625
inner_tuning,0.0,0.0,5,0.14542938437726763,0.8166666666666667,0.825
inner_tuning,0.0,0.0,6,0.15834102117353016,0.8748120300751879,0.8875
inner_tuning,0.0,0.0,7,0.10171911037630504,0.8166666666666667,0.825
inner_tuning,0.0,0.0,8,0.07266164529654714,0.8748120300751879,0.8875
inner_tuning,0.0,0.0,9,0.10245703202154902,0.8166666666666667,0.825
inner_tuning,0.0,0.0,10,0.06477492199175888,0.8748120300751879,0.8875
inner_tuning,0.0,0.0,11,0.06745895412233141,0.8748120300751879,0.8875
inner_tuning,0.0,0.0,12,0.047549335492981806,0.8748120300751879,0.8875
inner_tuning,0.0,0.0,13,0.038117565421594515,0.8748120300751879,0.8875
inner_tuning,0.0,0.0,14,0.0555620924052265,0.8748120300751879,0.8875
inner_tuning,0.0,0.0,15,0.03437241539359093,0.8748120300751879,0.8875
inner_tuning,0.0,0.0,16,0.02608897505948941,0.8748120300751879,0.8875
inner_tuning,0.0,0.0,17,0.024021785602801375,0.8748120300751879,0.8875
inner_tuning,0.0,0.0,18,0.019401569643782243,0.8748120300751879,0.8875
inner_tuning,0.0,0.0,19,0.0211798216526707,0.8748120300751879,0.8875
inner_tuning,0.0,0.0,20,0.013608267815369699,0.8748120300751879,0.8875
inner_tuning,0.0,0.0,21,0.019467452929044764,0.8748120300751879,0.8875
inner_tuning,0.0,1.0,1,1.0892015894254048,0.6562937062937063,0.7083333333333334
inner_tuning,0.0,1.0,2,0.6680555674764845,0.7059884559884559,0.7361111111111112
inner_tuning,0.0,1.0,3,0.46625859207577175,0.9365079365079365,0.9375
inner_tuning,0.0,1.0,4,0.3343537797530492,0.9365079365079365,0.9375
inner_tuning,0.0,1.0,5,0.2413161645332972,0.9511278195488722,0.9375
inner_tuning,0.0,1.0,6,0.13797496921486324,1.0,1.0
inner_tuning,0.0,1.0,7,0.1060038407643636,1.0,1.0
inner_tuning,0.0,1.0,8,0.09630751195881102,1.0,1.0
