method,macro_f1,balanced_accuracy,recall_N,recall_B,recall_IR,recall_OR
coral,0.8314509564509565,0.8303571428571428,0.75,0.8333333333333334,0.9166666666666666,0.8214285714285714
source_linear,0.8773056573056573,0.869047619047619,0.75,0.9166666666666666,0.9166666666666666,0.8928571428571429
source_mlp,0.8773056573056573,0.869047619047619,0.75,0.9166666666666666,0.9166666666666666,0.8928571428571429
