file_id,coral_label,coral_label_before_revision,label_changed
A,IR,IR,False
B,OR,OR,False
C,B,B,False
D,OR,OR,False
E,B,B,False
F,OR,OR,False
G,OR,OR,False
H,IR,IR,False
I,OR,OR,False
J,B,B,False
K,IR,IR,False
L,OR,OR,False
M,IR,IR,False
N,B,B,False
O,OR,OR,False
P,OR,OR,False
