seed,epoch,source_classification_loss,domain_loss,domain_accuracy
2025,1,0.09344331518961833,0.6956190787828885,0.5317560709439791
2025,2,0.07339996887514225,0.6347167216814481,0.7703378017132099
2025,3,0.0456452568849692,0.5733819191272442,0.8291055147464459
2025,4,0.05207340003779301,0.5764330258736243,0.7073633624957159
2025,5,0.03775243403819891,0.8287714077876165,0.40273911907122684
2025,6,0.03286441043019295,0.881443440914154,0.4290549090275398
2025,7,0.036161642091778606,0.6469994233204768,0.6225645221196688
2025,8,0.02395168416058788,0.5393124704177563,0.7758413461538461
2025,9,0.024333989820801295,0.49719134202370274,0.8029478742526128
2025,10,0.015312585406578504,0.5265602859166952,0.8163588047027588
2025,11,0.02080708323046565,0.6083044639000525,0.6970837551813859
2025,12,0.01403262595144602,0.8508310409692618,0.3923329963133885
2025,13,0.013640477142941494,0.6977012203289912,0.5180288461538461
2025,14,0.00884906374491178,0.5173158851953653,0.8269863357910743
2025,15,0.01322339720522555,0.5505815652700571,0.792478492626777
2025,16,0.014026265860033723,1.075151264667511,0.5305225207255437
2025,17,0.010105351236863779,1.2504229499743535,0.35703441271415126
2025,18,0.004943505256400945,0.6701185749127314,0.5151821879240183
2025,19,0.007537291707614293,0.5103821502282069,0.7504111849344693
2025,20,0.009336510852265816,0.49435389729646534,0.7788461538461539
2025,21,0.007423443207069515,0.4678623813849229,0.8261007070541382
2025,22,0.003920088025132338,0.4914646332080548,0.8004807692307693
2025,23,0.009395806047205742,0.8566272625556359,0.5240068321044629
2025,24,0.009831290083149305,0.7970957251695486,0.504586283977215
2025,25,0.009241953290676555,0.447114490545713,0.8502973180550796
2025,26,0.006987905008897472,0.4189359385233659,0.856813004383674
2025,27,0.0044845182453103075,0.373900450192965,0.8783211020322946
2025,28,0.007947470486844676,0.3605216076740852,0.8726594127141513
2025,29,0.01117169468377072,0.3347093302469987,0.8807565799126258
2025,30,0.0043556453310884535,0.3439051852776454,0.8672823905944824
2026,1,0.09496474523956959,0.6938181015161368,0.5206857277796819
2026,2,0.05851548824172754,0.6637555131545434,0.7789094127141513
2026,3,0.05085295123549608,0.6230799372379596,0.8550417514947745
2026,4,0.048959415119427904,0.5921255808610183,0.7626201923076923
2026,5,0.0326966498620235,0.6345978516798753,0.6195913461538461
2026,6,0.03256853655553781,0.6796749555147611,0.4911753535270691
2026,7,0.019755129200907853,0.5790223456346072,0.5636070324824407
2026,8,0.018990381083522852,0.5183974229372464,0.7698317307692307
2026,9,0.015561044860917788,0.6643198728561401,0.5722735317853781
2026,10,0.016289573413534805,0.9761771468015817,0.32872596153846156
2026,11,0.01853772822337655,1.222720192028926,0.25828694380246675
2026,12,0.014879341559627881,0.9500809632814847,0.36873734914339507
2026,13,0.018510951159092095,0.5531482788232657,0.7466788979677054
2026,14,0.012698933670225624,0.49151116838821995,0.8410614866476792
2026,15,0.00920258854659131,0.43757704817331755,0.8729124481861408
2026,16,0.005895415388155156,0.43186618502323443,0.8624430665603051
2026,17,0.0071167458260718445,0.4075351793032426,0.8753162943399869
2026,18,0.00776704207349282,0.4102493685025435,0.882148279593541
2026,19,0.014170182295716725,0.43607388551418597,0.8644673595061669
2026,20,0.016661066042545896,0.49311523941846996,0.8176239866476792
2026,21,0.01033206922091687,0.879410404425401,0.5998861331206101
2026,22,0.007740484156574194,1.3465691208839417,0.3564650806096884
2026,23,0.010551828801488647,0.6265939703354468,0.586601720406459
2026,24,0.00797073938883841,0.47771210166124195,0.8205655354719895
2026,25,0.007201141113630281,0.4639272643969609,0.8067434200873742
2026,26,0.011070472752460493,0.46175817113656265,0.7949139659221356
2026,27,0.0041046923545833966,0.4578213600011972,0.7752720163418696
2026,28,0.012251083336125772,0.47094008326530457,0.7519610340778644
2026,29,0.006698663373334477,0.5034582431499774,0.7043269230769231
2026,30,0.005994104574291179,0.5733635929914621,0.6738360340778644
2027,1,0.09397582881725751,0.6781510756565974,0.52191928258309
2027,2,0.06953285734813947,0.6364148809359624,0.7372216582298279
2027,3,0.04591330312765562,0.5826123586067786,0.8241713047027588
2027,4,0.041464621774279155,0.5590982024486248,0.761196860900292
2027,5,0.04351754364772485,0.6298237901467544,0.5372279859506167
2027,6,0.03619312190522368,0.7342001795768738,0.44645116420892567
2027,7,0.02112943593126077,0.6683880549210769,0.48943572777968186
2027,8,0.018819699242997628,0.5580864823781527,0.7045483314074003
2027,9,0.016582822964455072,0.5989270485364474,0.7017649274605972
2027,10,0.02422594386511124,1.3571012111810536,0.3365700909724602
2027,11,0.016405072528868914,1.4084322360845714,0.3025050598841447
2027,12,0.015142151665014144,0.8634114402991074,0.42788461538461536
2027,13,0.013986543304501818,0.5430566072463989,0.746584007373223
2027,14,0.012584494498486701,0.4908246375047244,0.7445913461538461
2027,15,0.020548764562520843,0.47691890138846177,0.7377277337587796
2027,16,0.017272571603266094,0.47311615485411423,0.7513916996809152
2027,17,0.012116038500188062,0.4552720647591811,0.8290738876049335
2027,18,0.0068749470385507895,0.4864888603870685,0.8500126508566049
2027,19,0.0054444087436422706,0.4975842031148764,0.8551999009572543
2027,20,0.003874514986259433,0.5632391892946683,0.7556616893181434
2027,21,0.011127427041244049,1.1666446924209595,0.45160678029060364
2027,22,0.012341958461687542,1.0034894851537852,0.4725455458347614
2027,23,0.005995546637747724,0.452693379842318,0.8215776819449204
2027,24,0.009515664302923072,0.48610506378687346,0.8059210548034081
2027,25,0.004540244296479683,0.4705767471056718,0.8315726197682894
2027,26,0.006663247011601925,0.5289598153187678,0.8097166006381695
2027,27,0.00996057740233552,0.5386421267802899,0.7922254571547875
2027,28,0.006648479441467386,0.5397840417348422,0.7666371464729309
2027,29,0.007934921358425457,0.5890158735788785,0.6515055665603051
2027,30,0.009133195164255224,0.7443611392608056,0.5562689785773938
2028,1,0.08644515361923438,0.6920716854242178,0.5042067307692307
2028,2,0.06126129312010912,0.6496648650902969,0.8542510133523208
2028,3,0.04403418137763555,0.6160315412741441,0.8203125
2028,4,0.05878883686203223,0.6011331310639014,0.7423140177359948
2028,5,0.03732000334331623,0.6784641238359305,0.47308324850522554
2028,6,0.0429549882761561,0.7741829982170692,0.476910426066472
2028,7,0.028324500012856264,0.6924867217357342,0.4671368919886075
2028,8,0.02308217894572478,0.6152611833352309,0.6144989866476792
2028,9,0.02623946602957753,0.6234735754820017,0.597165992626777
2028,10,0.01808142756971602,0.7416415902284476,0.5156882588679974
2028,11,0.017453111206682827,0.933791995048523,0.3662702418290652
2028,12,0.0173978573965052,0.7032767121608441,0.4898785444406363
2028,13,0.017628968129149422,0.5889323628865756,0.7372216582298279
2028,14,0.009875815231890347,0.5476385354995728,0.8260058210446284
2028,15,0.0167644305441242,0.5367586360527918,0.8181616893181434
2028,16,0.008281899329561453,0.5076060409729297,0.7876708003190848
2028,17,0.0059285369934514165,0.6199358380757846,0.6587171050218436
2028,18,0.028065530950418457,1.1573797877018268,0.38202176185754627
2028,19,0.021700742887333035,1.068009729568775,0.38619686319277835
2028,20,0.0141456110510402,0.6936100125312805,0.5166055147464459
2028,21,0.009552031200235853,0.544616896372575,0.7640435237150925
2028,22,0.007208248387681893,0.48824800894810605,0.853460275209867
2028,23,0.004481763399850864,0.4580770501723656,0.8738929675175593
2028,24,0.008400902680407923,0.4381680144713475,0.8574139659221356
2028,25,0.00892715829048449,0.42926531113111055,0.8402391213637131
2028,26,0.007556392900789013,0.4401045579176683,0.8409666006381695
2028,27,0.00402388474993551,0.5498393980356363,0.7896634615384616
2028,28,0.009882868375056066,0.9362117052078247,0.6103555170389322
2028,29,0.011643195068105482,0.8667118778595557,0.5540865384615384
2028,30,0.005779992296503713,0.7384040814179641,0.625695852132944
2029,1,0.07673353100052246,0.6725733280181885,0.608710779593541
2029,2,0.065147140994668,0.6193039188018212,0.7885247973295358
2029,3,0.054265654574219994,0.5604168360049908,0.8423899274605972
2029,4,0.04729925024394806,0.5310604411822099,0.7766320842962998
2029,5,0.027804377345511548,0.6939870164944575,0.5068952418290652
2029,6,0.02510604351902237,0.8118673792252173,0.37351341201708865
2029,7,0.026939312569223918,0.7024668455123901,0.4420230251092177
2029,8,0.020677867882813398,0.5920719366807204,0.745951418693249
2029,9,0.018423030009636514,0.5819874910207895,0.7036627026704642
2029,10,0.01116125495173037,0.8642158783399142,0.4944648284178514
2029,11,0.01909377400834973,0.9693716764450073,0.3753162966324733
2029,12,0.025237997993826866,0.6954848903876084,0.6120002544843234
2029,13,0.010026706722923197,0.5147177852117099,0.741017208649562
2029,14,0.013436837900931446,0.4940788745880127,0.7353555147464459
2029,15,0.016545897215389863,0.5112476027928866,0.7902011642089257
2029,16,0.006974502000957727,0.7737026764796331,0.6108615879829113
2029,17,0.018129361560568213,1.4340961896456206,0.37091978696676403
2029,18,0.010896961768874181,0.9387469337536738,0.3788904341367575
2029,19,0.004981758816239352,0.6031927787340604,0.6365131598252517
2029,20,0.005670713681656008,0.4843346659953778,0.7606907899563129
2029,21,0.0025861689422387057,0.475233236184487,0.8121520739335281
2029,22,0.0105964585314863,0.5022082833143381,0.7717295059790978
2029,23,0.004866518850366657,0.5245643670742328,0.7295356759658227
2029,24,0.012023394036357505,0.5155276495676774,0.7139106759658227
2029,25,0.007258739488091893,0.5771483297531421,0.6820280872858487
2029,26,0.008493800405771114,0.7730770340332618,0.4795989371263064
2029,27,0.008297528140246868,1.0501984311984136,0.4226024792744563
2029,28,0.005830063569681862,0.9082643802349384,0.4364878535270691
2029,29,0.004379941334124082,0.6385334225801321,0.5700278328015254
2029,30,0.0026874186363644325,0.47716049735362714,0.781914220406459
