held_load,method,n_train_files,n_test_files,file_leakage_count,pot_convergence_warning_count,mmd_before,mmd_after,macro_f1,balanced_accuracy,recall_N,recall_B,recall_IR,recall_OR
0,pot_sinkhorn_lpl1,42,14,0,0.0,0.013089319261301968,0.018947809247292557,0.7307692307692308,0.7976190476190476,1.0,0.6666666666666666,0.6666666666666666,0.8571428571428571
0,source_only_sanity,42,14,0,,,,0.8785714285714287,0.8809523809523809,1.0,1.0,0.6666666666666666,0.8571428571428571
1,pot_sinkhorn_lpl1,42,14,0,0.0,0.005748802495881611,0.01824359508196327,1.0,1.0,1.0,1.0,1.0,1.0
1,source_only_sanity,42,14,0,,,,1.0,1.0,1.0,1.0,1.0,1.0
2,pot_sinkhorn_lpl1,42,14,0,0.0,0.00023440774076100013,0.016750648936302515,1.0,1.0,1.0,1.0,1.0,1.0
2,source_only_sanity,42,14,0,,,,1.0,1.0,1.0,1.0,1.0,1.0
3,pot_sinkhorn_lpl1,42,14,0,0.0,0.005337635533928742,0.017720477961667536,0.8974358974358974,0.9642857142857143,1.0,1.0,1.0,0.8571428571428571
3,source_only_sanity,42,14,0,,,,1.0,1.0,1.0,1.0,1.0,1.0
