method,macro_f1,balanced_accuracy,recall_N,recall_B,recall_IR,recall_OR
dann,0.9058441558441559,0.9107142857142857,1.0,1.0,0.75,0.8928571428571429
source_only,0.8773056573056573,0.869047619047619,0.75,0.9166666666666666,0.9166666666666666,0.8928571428571429
