model,validation_scheme,mean_macro_f1,mean_balanced_accuracy,mean_accuracy,mean_macro_precision,mean_macro_recall,std_macro_f1,std_balanced_accuracy,std_accuracy,std_macro_precision,std_macro_recall
mlp,lolo,0.9356684981684982,0.9404761904761905,0.9285714285714286,0.9337797619047619,0.9404761904761905,0.09560829886913642,0.09671474291233288,0.10101525445522108,0.0954355282429998,0.09671474291233288
mlp,group_cv,0.9572916666666668,0.9613095238095237,0.9464285714285715,0.9671875,0.9613095238095237,0.051636976236170265,0.04493949068613542,0.06838765055402417,0.04715195957398447,0.04493949068613542
