validation_scheme,outer_fold,model,feature,importance
lolo,2,random_forest,env_2000_4000_std,0.04035766701154632
lolo,2,random_forest,psd_4000_8000_mean,0.02829830266749906
lolo,2,random_forest,psd_4000_8000_std,0.01462404716613063
lolo,2,random_forest,order_0.5_2_mean,0.01276628780950338
lolo,2,random_forest,order_0.5_2_std,0.014660058708535605
lolo,2,random_forest,order_2_4_mean,0.017922812690248025
lolo,2,random_forest,order_2_4_std,0.029308982815814708
lolo,2,random_forest,order_4_8_mean,0.026810097498170666
lolo,2,random_forest,order_4_8_std,0.015057089456814865
lolo,2,random_forest,order_8_16_mean,0.0332096567873942
lolo,2,random_forest,order_8_16_std,0.05103110253503113
lolo,3,random_forest,amp_rms_mean,0.016867884939008218
lolo,3,random_forest,amp_rms_std,0.007674248974862357
lolo,3,random_forest,amp_peak_mean,0.02902270280429952
lolo,3,random_forest,amp_peak_std,0.0066561985750057595
lolo,3,random_forest,shape_skew_mean,0.0030970524686058736
lolo,3,random_forest,shape_skew_std,0.00034833293695134103
lolo,3,random_forest,shape_kurtosis_mean,0.017707133761984437
lolo,3,random_forest,shape_kurtosis_std,0.0029636644825353944
lolo,3,random_forest,shape_crest_mean,0.01320222887856337
lolo,3,random_forest,shape_crest_std,0.005797916422572131
lolo,3,random_forest,zcr_mean,0.027985428925708798
lolo,3,random_forest,zcr_std,0.003960685756275518
lolo,3,random_forest,psd_centroid_mean,0.010260896469691189
lolo,3,random_forest,psd_centroid_std,0.00341344887203334
lolo,3,random_forest,psd_bandwidth_mean,0.028413528011237713
lolo,3,random_forest,psd_bandwidth_std,0.005229209377461487
lolo,3,random_forest,psd_entropy_mean,0.0017548376323397988
lolo,3,random_forest,psd_entropy_std,0.005025656686661032
lolo,3,random_forest,psd_peak_ratio_mean,0.015487232473008017
lolo,3,random_forest,psd_peak_ratio_std,0.006242417324248527
lolo,3,random_forest,env_rms_mean,0.012462704411670652
lolo,3,random_forest,env_rms_std,0.005977341400835364
lolo,3,random_forest,env_kurtosis_mean,0.01702815227659956
lolo,3,random_forest,env_kurtosis_std,0.00207380961195654
lolo,3,random_forest,env_entropy_mean,0.0272543130089765
lolo,3,random_forest,env_entropy_std,0.005966371165357257
lolo,3,random_forest,env_peak_ratio_mean,0.05738730783755241
lolo,3,random_forest,env_peak_ratio_std,0.005093990681314669
lolo,3,random_forest,psd_0_500_mean,0.014939278664701239
lolo,3,random_forest,psd_0_500_std,0.017689643129628
lolo,3,random_forest,env_0_500_mean,0.019305130325405925
lolo,3,random_forest,env_0_500_std,0.013641877740423528
lolo,3,random_forest,psd_500_1000_mean,0.029014177483302327
lolo,3,random_forest,psd_500_1000_std,0.0064676939420139
lolo,3,random_forest,env_500_1000_mean,0.032968732761809755
lolo,3,random_forest,env_500_1000_std,0.03941029444010442
lolo,3,random_forest,psd_1000_2000_mean,0.0035333910848061962
lolo,3,random_forest,psd_1000_2000_std,0.004422119959148052
lolo,3,random_forest,env_1000_2000_mean,0.004048481798127113
lolo,3,random_forest,env_1000_2000_std,0.0385754458000333
lolo,3,random_forest,env_2000_4000_mean,0.021181406856272983
lolo,3,random_forest,env_2000_4000_std,0.048556602309335346
lolo,3,random_forest,psd_4000_8000_mean,0.023006844613320237
lolo,3,random_forest,psd_4000_8000_std,0.022365204872987418
lolo,3,random_forest,order_0.5_2_mean,0.002639319476788952
lolo,3,random_forest,order_0.5_2_std,0.009353670572358407
lolo,3,random_forest,order_2_4_mean,0.013210170748381675
lolo,3,random_forest,order_2_4_std,0.03806555656274891
lolo,3,random_forest,order_4_8_mean,0.08590594848666043
lolo,3,random_forest,order_4_8_std,0.022146874627572533
lolo,3,random_forest,order_8_16_mean,0.04263155466395822
lolo,3,random_forest,order_8_16_std,0.10256588291279448
lolo,4,random_forest,amp_rms_mean,0.02323425345936346
lolo,4,random_forest,amp_rms_std,0.012155945246604908
lolo,4,random_forest,amp_peak_mean,0.030864411785806598
lolo,4,random_forest,amp_peak_std,0.011091564023247706
lolo,4,random_forest,shape_skew_mean,0.006145526053389812
lolo,4,random_forest,shape_skew_std,0.0034929198878718695
lolo,4,random_forest,shape_kurtosis_mean,0.020477306284382102
lolo,4,random_forest,shape_kurtosis_std,0.005235517605357487
lolo,4,random_forest,shape_crest_mean,0.029577141994866895
lolo,4,random_forest,shape_crest_std,0.01009525493662499
lolo,4,random_forest,zcr_mean,0.024031771787190175
lolo,4,random_forest,zcr_std,0.00753934201195918
lolo,4,random_forest,psd_centroid_mean,0.0219974526508089
lolo,4,random_forest,psd_centroid_std,0.007008121532073988
lolo,4,random_forest,psd_bandwidth_mean,0.018928631778574515
lolo,4,random_forest,psd_bandwidth_std,0.014917361253901284
lolo,4,random_forest,psd_entropy_mean,0.004298076254056239
lolo,4,random_forest,psd_entropy_std,0.0064119672213546605
lolo,4,random_forest,psd_peak_ratio_mean,0.010465488852677582
lolo,4,random_forest,psd_peak_ratio_std,0.012665112111973032
lolo,4,random_forest,env_rms_mean,0.02924440986194807
lolo,4,random_forest,env_rms_std,0.00756383620908663
lolo,4,random_forest,env_kurtosis_mean,0.02664975308845465
lolo,4,random_forest,env_kurtosis_std,0.005885228463218575
lolo,4,random_forest,env_entropy_mean,0.023322374221093192
lolo,4,random_forest,env_entropy_std,0.007698371158563679
lolo,4,random_forest,env_peak_ratio_mean,0.033218691887184564
lolo,4,random_forest,env_peak_ratio_std,0.005772997689820035
lolo,4,random_forest,psd_0_500_mean,0.01568692252213625
lolo,4,random_forest,psd_0_500_std,0.02176402435366944
lolo,4,random_forest,env_0_500_mean,0.021580836707197126
lolo,4,random_forest,env_0_500_std,0.028532937939124953
lolo,4,random_forest,psd_500_1000_mean,0.019721719746864968
lolo,4,random_forest,psd_500_1000_std,0.017565571187229692
lolo,4,random_forest,env_500_1000_mean,0.021047461199848867
lolo,4,random_forest,env_500_1000_std,0.035839341120013905
lolo,4,random_forest,psd_1000_2000_mean,0.009058699262543646
lolo,4,random_forest,psd_1000_2000_std,0.027387464686721735
lolo,4,random_forest,env_1000_2000_mean,0.006463892741648494
lolo,4,random_forest,env_1000_2000_std,0.024868614930675305
lolo,4,random_forest,env_2000_4000_mean,0.024038953727902677
lolo,4,random_forest,env_2000_4000_std,0.04726361951907777
lolo,4,random_forest,psd_4000_8000_mean,0.02216319186464071
lolo,4,random_forest,psd_4000_8000_std,0.019480831336360967
lolo,4,random_forest,order_0.5_2_mean,0.01068665587432292
lolo,4,random_forest,order_0.5_2_std,0.009833853895631437
lolo,4,random_forest,order_2_4_mean,0.019897137887267758
lolo,4,random_forest,order_2_4_std,0.03162252465066943
lolo,4,random_forest,order_4_8_mean,0.051538121896339904
lolo,4,random_forest,order_4_8_std,0.018657914528587005
lolo,4,random_forest,order_8_16_mean,0.03469467199483167
lolo,4,random_forest,order_8_16_std,0.04061620711523878
group_cv,1,random_forest,amp_rms_mean,0.02566399960605663
