class_or_average,precision,recall,f1-score,support
N,1.0,1.0,1.0,4.0
B,0.8,1.0,0.8888888888888888,12.0
IR,1.0,0.8333333333333334,0.9090909090909091,12.0
OR,0.9629629629629629,0.9285714285714286,0.9454545454545454,28.0
accuracy,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286
macro avg,0.9407407407407407,0.9404761904761905,0.9358585858585858,56.0
weighted avg,0.9386243386243386,0.9285714285714286,0.9294372294372294,56.0
