validation_scheme,fold,model,test_partition,n_train_files,n_test_files,file_leakage_count,best_params,training_seconds,inference_seconds,macro_f1,balanced_accuracy,accuracy,macro_precision,macro_recall,recall_N,recall_B,recall_IR,recall_OR
lolo,1,mlp,load_0,42,14,0,"{""dropout"": 0.1, ""weight_decay"": 0.0001, ""epochs"": 60}",1.0820922999992035,0.00421670003561303,0.7976190476190476,0.7976190476190476,0.7857142857142857,0.7976190476190476,0.7976190476190476,1.0,0.6666666666666666,0.6666666666666666,0.8571428571428571
lolo,2,mlp,load_1,42,14,0,"{""dropout"": 0.1, ""weight_decay"": 0.001, ""epochs"": 60}",1.0871593999909237,0.0041668000048957765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lolo,3,mlp,load_2,42,14,0,"{""dropout"": 0.05, ""weight_decay"": 0.001, ""epochs"": 60}",1.0890440999646671,0.004123699967749417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lolo,4,mlp,load_3,42,14,0,"{""dropout"": 0.05, ""weight_decay"": 0.0001, ""epochs"": 60}",1.0905787999508902,0.003991900011897087,0.945054945054945,0.9642857142857143,0.9285714285714286,0.9375,0.9642857142857143,1.0,1.0,1.0,0.8571428571428571
