model,validation_scheme,n_folds_lolo,mean_training_seconds_lolo,mean_model_size_bytes_lolo,mean_macro_f1_lolo,std_macro_f1_lolo,mean_balanced_accuracy_lolo,std_balanced_accuracy_lolo,mean_accuracy_lolo,std_accuracy_lolo,mean_macro_precision_lolo,std_macro_precision_lolo,mean_macro_recall_lolo,std_macro_recall_lolo,mean_recall_N_lolo,std_recall_N_lolo,mean_recall_B_lolo,std_recall_B_lolo,mean_recall_IR_lolo,std_recall_IR_lolo,mean_recall_OR_lolo,std_recall_OR_lolo,min_mean_class_recall_lolo,n_folds_group_cv,mean_training_seconds_group_cv,mean_model_size_bytes_group_cv,mean_macro_f1_group_cv,std_macro_f1_group_cv,mean_balanced_accuracy_group_cv,std_balanced_accuracy_group_cv,mean_accuracy_group_cv,std_accuracy_group_cv,mean_macro_precision_group_cv,std_macro_precision_group_cv,mean_macro_recall_group_cv,std_macro_recall_group_cv,mean_recall_N_group_cv,std_recall_N_group_cv,mean_recall_B_group_cv,std_recall_B_group_cv,mean_recall_IR_group_cv,std_recall_IR_group_cv,mean_recall_OR_group_cv,std_recall_OR_group_cv,min_mean_class_recall_group_cv
logistic_regression,lolo,4,0.09067749998939689,4084.0,0.9081959706959708,0.07371794871794873,0.9226190476190477,0.08333333333333337,0.892857142857143,0.07142857142857145,0.9025297619047619,0.06994047619047622,0.9226190476190477,0.08333333333333337,1.0,0.0,0.9166666666666666,0.16666666666666669,0.9166666666666666,0.16666666666666669,0.8571428571428571,0.0,0.8571428571428571,4,0.10083057498559356,4084.0,0.8602220695970696,0.08907151111977724,0.8809523809523809,0.059125652483140265,0.8571428571428571,0.05832118435198045,0.8645089285714286,0.11073545171248234,0.8809523809523809,0.059125652483140265,1.0,0.0,0.8333333333333333,0.19245008972987526,0.8333333333333333,0.19245008972987526,0.8571428571428572,0.11664236870396084,0.8333333333333333
rbf_svm,lolo,4,0.06334082499961369,19977.25,0.749805402930403,0.19611652131734453,0.7767857142857143,0.18477964855069545,0.8035714285714286,0.10714285714285715,0.7373511904761905,0.2147725812773975,0.7767857142857143,0.18477964855069545,0.75,0.5,0.9166666666666666,0.16666666666666669,0.5833333333333333,0.4194352464039305,0.8571428571428571,0.0,0.5833333333333333,4,0.06840652499522548,20421.25,0.7919299450549451,0.13290321558229617,0.7976190476190476,0.12140522651411392,0.8214285714285714,0.07142857142857144,0.8109375,0.14386946525377584,0.7976190476190476,0.12140522651411392,0.75,0.5,0.9166666666666666,0.16666666666666669,0.6666666666666666,0.0,0.8571428571428572,0.11664236870396084,0.6666666666666666
random_forest,lolo,4,4.238369049999164,852103.75,0.9074977106227107,0.08115082989100658,0.9107142857142857,0.09040306150709937,0.8928571428571429,0.0922138891954147,0.9229166666666666,0.0616610357789531,0.9107142857142857,0.09040306150709937,1.0,0.0,0.9166666666666666,0.16666666666666669,0.8333333333333333,0.19245008972987526,0.8928571428571429,0.07142857142857145,0.8333333333333333,4,4.407818374995259,811079.25,0.9033768315018315,0.03484554322387532,0.8988095238095238,0.020619652471058052,0.8928571428571429,0.04123930494211617,0.9348214285714286,0.039184121888378005,0.8988095238095238,0.020619652471058052,1.0,0.0,0.9166666666666666,0.16666666666666669,0.7499999999999999,0.16666666666666669,0.9285714285714286,0.08247860988423228,0.7499999999999999
mlp,lolo,4,3.5041407249955228,57232.0,0.9304601648351649,0.10567311501487987,0.9404761904761905,0.09671474291233288,0.9285714285714286,0.10101525445522108,0.9504464285714286,0.06455589717867932,0.9404761904761905,0.09671474291233284,1.0,0.0,1.0,0.0,0.8333333333333333,0.3333333333333333,0.9285714285714286,0.08247860988423228,0.8333333333333333,4,3.0029486249986803,57232.0,0.9106227106227106,0.03518472248105831,0.9226190476190477,0.034366087451763457,0.8928571428571429,0.04123930494211617,0.9265625,0.03321920566479576,0.9226190476190477,0.034366087451763457,1.0,0.0,1.0,0.0,0.8333333333333333,0.1924500897298753,0.8571428571428572,0.11664236870396084,0.8333333333333333
