method,seed_agreement_mean,rpm_agreement_mean,loto_agreement_mean,subsample_agreement_mean
source_only,0.7625,0.9375,1.0,0.965625
coral,0.85,0.9583333333333333,1.0,0.9875
class_regularized_ot,0.8125,0.9791666666666666,1.0,0.996875
