method,macro_f1,balanced_accuracy,recall_N,recall_B,recall_IR,recall_OR,unit
s56_class_balanced,0.9166278166278166,0.9404761904761905,1.0,1.0,0.8333333333333334,0.9285714285714286,held-out source raw MAT file
s56_file_balanced,0.9562633019154758,0.9613095238095237,1.0,1.0,0.9166666666666666,0.9285714285714286,held-out source raw MAT file
source_mlp,0.9702018633540372,0.9702380952380952,1.0,1.0,0.9166666666666666,0.9642857142857143,held-out source raw MAT file
class_regularized_ot,0.9854545454545455,0.9910714285714286,1.0,1.0,1.0,0.9642857142857143,held-out source raw MAT file
s16_balanced,0.9365079365079365,0.9375,1.0,0.75,1.0,1.0,held-out source raw MAT file (fixed S16 subset)
